estab_name,site_city,site_state,open_date,insp_type,safety_hlth,union_status,naics_code,,,,
ACCESS INFORMATION MANAGEMENT INC.,SALT LAKE CITY,UT,2022-04-08,Complaint,S,B,518210,,,K,Programmed Other
"ALLEVITY, INC.",CHICO,CA,2026-03-04,Complaint,H,B,518210,,,L,Other
AMAZON,NORTH JACKSON,OH,2022-02-14,Complaint,S,B,518210,,,M,Fatality - Catastrophe
AMAZON,PRUDHOE BAY,AK,2023-10-11,Complaint,S,B,518210,,,N,Unprogrammed Emphasis
AMAZON DATA CENTER,JOHNSTOWN,OH,2021-02-24,Complaint,S,B,518210,,,,
"AMAZON DATA SERVICES INC, IAD68",STERLING,VA,2021-03-04,Complaint,S,B,518210,,,,
BIGBYTE.CC CORP.,ALBUQUERQUE,NM,2021-05-10,Complaint,S,B,518210,,,,
BITMAIN TECHNOLOGIES GEORGIA LIMITED,JAMESTOWN,ND,2022-08-02,Complaint,S,B,518210,,,,
"COMPASS MINING, INC",HOPKINTON,IA,2026-02-02,Complaint,S,B,518210,,,,
"COMPASS MINING, INC.",DENVER,CO,2023-07-19,Complaint,S,B,518210,,,,