estab_name,site_city,site_state,open_date,insp_type,safety_hlth,union_status,naics_code
103780 - BIT 49 INC,GLENCOE,MN,2021-11-23,B,H,B,518210
105465 - AT-T SERVICES INC,MINNEAPOLIS,MN,2022-12-28,B,S,A,518210
151806 - PUNZ INTERNET CAFE,DURHAM,NC,2022-05-12,M,S,B,518210
154942 - UNKNOWN CONTRACTOR,HENDERSON,NC,2023-08-17,B,S,B,518210
"155173 - SOUTHEASTERN CABLE, INC.",MOORESVILLE,NC,2023-09-14,G,S,B,518210
"156808 - DARTPOINTS OPERATING COMPANY, LLC",BILTMORE FOREST,NC,2024-06-03,B,S,B,518210
"159186 - BRIGHTSPEED FIBER SERVICES, LLC",KERNERSVILLE,NC,2025-07-02,B,S,B,518210
500 N 4TH STREET LLC,CONESVILLE,OH,2025-01-22,B,S,B,518210
64507 - BRANDENBURG TELECOM LLC,RINEYVILLE,KY,2021-12-08,G,S,B,518210
65332 - HORIZON MINING LLC,STEPHENS,KY,2022-09-01,B,S,B,518210
65711 - PRIMEBLOCK POWER LLC,OVEN FORK,KY,2022-12-08,B,S,B,518210
65722 - HORIZON MINING LLC,STEPHENS,KY,2022-12-13,C,H,B,518210
66346 - BLOCK MINING INC,PADUCAH,KY,2023-08-03,B,S,B,518210
67826 - BLOCK MINING INC,CALVERT CITY,KY,2025-03-14,B,H,B,518210
76474 - CONCEPT PACKAGING GROUP,NORTH CHARLESTON,SC,2024-11-21,B,S,B,518210
ACCESS INFORMATION MANAGEMENT INC.,SALT LAKE CITY,UT,2022-04-08,B,S,B,518210
"ALLEVITY, INC.",CHICO,CA,2026-03-04,B,H,B,518210
AMAZON,NORTH JACKSON,OH,2022-02-14,B,S,B,518210